,"label","type","item","offset","level","lang","unit","question","info","comment"
33,"Channels","order",5,241,0,"en",,"Irrespective of the channels you currently use to access your salary account, which channels to access your salary account will be of particular importance for your daily banking errands in the future, which will be less important? Please read the available answers first and then sort the access channels by clicking onto the applicable response. Begin with the most attractive and end with the least attractive access channel.",,"56|1125(R)"
34,"Services","ordered",11,246,4,"en",,"How interesting do you find the following salary account services?",,"56|1154(ordered)"
35,"Bankchoice","order",13,257,0,"en",,"What factors determine your choice of the main bank? Sort the reasons listed below by order of relevance.   Please read the available answers first and then sort the factors by clicking onto the applicable response. Begin with the most important and end with the least important factor.",,"56|1122(R)"
36,"Added_value","ordered",14,270,4,"en",,"Now let us consider possible value added services: How interesting would you find the following value-added services for your salary account?",,"56|1153(ordered)"
37,"Attributes","order",12,284,0,"en",,"Let us now consider the features of a salary account and their costs. Which of the following features and services do you find important when choosing a salary account? Which of them are not as important to you? Please sort accordingly. Please read the available answers first and then sort the factors/services by clicking onto the applicable response. Begin with the most important and end with the least important factor.",,"56|1123(R)"
38,"Combined_advantage","ordered",2,296,4,"en",,"How interesting do you find the two offers provided below when using a bank's salary account AND savings product?",,"57|1128(ordered)"
39,"Card_preferences","ordered",6,298,4,"en",,"How interesting do you personally find the following bank card options?",,"57|1140(ordered)"
40,"Communication","ordered",9,304,4,"en",,"How interesting do you find the following options to communicate with your main bank?",,"57|1141(ordered)"
41,"Change_Probability","factor",1,313,4,"en",,"How likely is it that you will move your salary account to another bank within the next 12 months?",,"59|1132(L)"
42,"Change_Reasons","logical",23,314,0,"en",,"Why are you considering switching to another bank?",,"59|1144(M)"
43,"Change_Barriers","logical",13,337,0,"en",,"What makes it (rather) unlikely for you to switch to another bank?",,"59|1145(M)"
44,"Change_Gifts","factor",1,350,7,"en",,"Which gift for opening an account would most likely motivate you to change a bank?",,"59|1126(L)"
45,"Value_Start_Account","numeric",1,351,0,"en",,"What amount should the starting balance on your salary account be (in hungarian forint) for you to consider switching the bank?",,"59|1127(N)"
46,"Value_Start_Card","numeric",1,352,0,"en",,"What amount should the starting balance on your credit card be (in hungarian forint) for you to consider switching the bank?",,"59|1146(N)"
47,"Value_Bankvoucher","numeric",1,353,0,"en",,"What value should the vouchers for other bank products have (in hungarian forint) for you to consider switching the bank?",,"59|1148(N)"
48,"Value_Cashback","numeric",1,354,0,"en",,"What should the amount of the premium in your salary account be when purchasing another bank product (in hungarian forint) for you to consider switching the bank?",,"59|1157(N)"
49,"Value_Voucher","numeric",1,355,0,"en",,"What value should the non-bank vouchers be from partner companies (in hungarian forint) for you to consider switching the bank?",,"59|1147(N)"
50,"Usage_Overdraft","factor",1,356,5,"en",,"Do you sometimes overdraw your salary account, resulting in a "negative balance" in your account?",,"58|1133(L)"
51,"Withdrawals","factor",1,357,7,"en",,"How often do you withdraw cash using an ATM or cash dispenser?",,"58|1134(L)"
52,"Transactions","factor",1,358,6,"en",,"How many transactions are carried out on your salary account every month?Including cash withdrawals, credit transfers, purchases with the debit card, direct debits and standing order transactions, etc. A rough estimate will suffice!",,"58|1135(L)"
53,"Age","factor",1,359,4,"en",,"How old are you?NOTE: THIS QUESTION IS NOT SHOWN IN THE SURVEY - DATA ARE TAKEN FROM SCREENER",,"55|1115(L)"
54,"Sex","factor",1,360,2,"en",,"Sex?NOTE: THIS QUESTION IS NOT SHOWN IN THE SURVEY - DATA ARE TAKEN FROM SCREENER",,"55|1116(L)"
55,"Marital_Status","factor",1,361,5,"en",,"Marital status",,"55|1117(L)"
56,"Size_household","factor",1,362,6,"en",,"Size of household (number of persons, including yourself)?",,"55|1159(L)"
57,"Size_Town","factor",1,363,8,"en",,"Size of home town/city?",,"55|1118(L)"
58,"Education","factor",1,364,6,"en",,"Highest level of education completed?",,"55|1119(L)"
59,"Profession","factor",1,365,7,"en",,"Profession?NOTE: THIS QUESTION IS NOT SHOWN IN THE SURVEY - DATA ARE TAKEN FROM SCREENER",,"55|1120(L)"
60,"Net_Income","factor",1,366,7,"en",,"How high is your approximate personal, monthly net income?",,"55|1121(L)"
61,"Region","factor",1,367,8,"en",,"Region?NOTE: THIS QUESTION IS NOT SHOWN IN THE SURVEY - DATA ARE TAKEN FROM SCREENER",,"55|1158(L)"
62,"Smartphone","factor",1,368,3,"en",,"Do you currently use a smart phone or do you intend to use one in the future?",,"55|1151(L)"
